Drug1,Drug2,Interaction_Type,Severity,Mechanism,Clinical_Relevance
Aspirin,Warfarin,Pharmacodynamic,Severe,Additive_anticoagulant_effects,High_risk_of_bleeding
Simvastatin,Grapefruit Juice,Pharmacokinetic,Moderate,CYP3A4_inhibition,Increased_serum_concentration
Metformin,Ranitidine,Pharmacokinetic,Mild,Decreased_absorption,Monitor_for_impact_on_blood_glucose_levels
Ibuprofen,Lithium,Pharmacokinetic,Moderate,Decreased_lithium_excretion,Potential_toxicity
Digoxin,Verapamil,Pharmacodynamic,Moderate,Additive_cardiovascular_effects,Increased_risk_of_arrhythmias
Levothyroxine,Calcium supplements,Pharmacokinetic,Mild,Decreased_absorption,Reduced_thyroid_hormone_effectiveness
Clopidogrel,Omeprazole,Pharmacokinetic,Moderate,CYP2C19_inhibition,Reduced_active_metabolite_formation
Phenytoin,Oral contraceptives,Pharmacokinetic,Mild,Increased_metabolism,Reduced_contraceptive_effectiveness
Cyclosporine,St. John's wort,Pharmacokinetic,Severe,CYP3A4_induction,Decreased_cyclosporine_levels
Furosemide,NSAIDs,Pharmacodynamic,Moderate,Additive_nephrotoxic_effects,Increased_risk_of_kidney_damage
Metoprolol,Fluoxetine,Pharmacokinetic,Moderate,CYP2D6_inhibition,Increased_metoprolol_levels
Tramadol,SSRIs,Pharmacodynamic,Moderate,Serotonin_syndrome_risk,Increased_risk_of_serotonin_syndrome
Methotrexate,Proton pump inhibitors,Pharmacokinetic,Mild,Decreased_absorption,Monitor_for_decreased_methotrexate_efficiency
Phenelzine,SSRIs,Pharmacodynamic,Severe,Serotonin_syndrome_risk,Increased_risk_of_serotonin_syndrome
Quinidine,Amiodarone,Pharmacodynamic,Severe,Additive_cardiovascular_effects,Increased_risk_of_arrhythmias
Allopurinol,Warfarin,Pharmacodynamic,Moderate,Increased_anticoagulant_effects,Increased_risk_of_bleeding
Ciprofloxacin,Theophylline,Pharmacokinetic,Moderate,Decreased_metabolism,Increased_theophylline_levels
Carbamazepine,Valproic acid,Pharmacokinetic,Moderate,Increased_metabolism,Reduced_valproic_acid_levels
Amiodarone,Digoxin,Pharmacokinetic,Severe,Increased_plasma_levels,Increased_risk_of_digoxin_toxicity
Codeine,MAOIs,Pharmacodynamic,Severe,Increased_central_nervous_system_depression,Risk_of_respiratory_depression
